"Node...1.","Node...2.","Wt"
"OoCyte_1","Late_blastoCyst_2_Cell_9",5
"OoCyte_1","Late_blastoCyst_2_Cell_10",4
"OoCyte_1","Late_blastoCyst_3_Cell_1",3
"OoCyte_1","Late_blastoCyst_3_Cell_2",4
"OoCyte_1","Late_blastoCyst_3_Cell_3",5
"OoCyte_1","Late_blastoCyst_3_Cell_4",4
"OoCyte_1","Late_blastoCyst_3_Cell_7",3
"OoCyte_1","Late_blastoCyst_3_Cell_8",5
"OoCyte_1","8_Cell_embryo_2_Cell_1",1
"OoCyte_1","8_Cell_embryo_2_Cell_5",1
"OoCyte_1","8_Cell_embryo_2_Cell_6",1
"OoCyte_1","8_Cell_embryo_2_Cell_8",5
"OoCyte_1","8_Cell_embryo_3_Cell_1",10
"OoCyte_1","8_Cell_embryo_3_Cell_5",20
"OoCyte_1","8_Cell_embryo_3_Cell_6",9
"OoCyte_1","Morulae_1_Cell_2",6
"OoCyte_1","Morulae_1_Cell_4",7
"OoCyte_1","Morulae_1_Cell_5",6
"OoCyte_1","Morulae_1_Cell_6",4
"OoCyte_1","Morulae_2_Cell_3",7
"OoCyte_1","Morulae_2_Cell_4",6
"OoCyte_1","Morulae_2_Cell_6",7
"OoCyte_1","Morulae_2_Cell_7",7
"OoCyte_1","Morulae_2_Cell_8",11
"OoCyte_1","Late_blastoCyst_2_Cell_2",4
"OoCyte_1","Late_blastoCyst_1_Cell_1",1
"OoCyte_1","Late_blastoCyst_1_Cell_5",2
"OoCyte_1","Late_blastoCyst_1_Cell_6",1
"OoCyte_1","Late_blastoCyst_1_Cell_7",1
"OoCyte_1","Late_blastoCyst_2_Cell_8",5
"OoCyte_1","Late_blastoCyst_3_Cell_5",5
"OoCyte_1","Morulae_1_Cell_1",6
"OoCyte_1","Morulae_2_Cell_2",8
"OoCyte_1","Morulae_2_Cell_5",4
"OoCyte_1","4_Cell_embryo_1_Cell_3",28
"OoCyte_1","8_Cell_embryo_2_Cell_4",1
"OoCyte_1","Morulae_1_Cell_7",8
"OoCyte_1","Late_blastoCyst_3_Cell_6",4
"OoCyte_1","Morulae_1_Cell_8",3
"OoCyte_1","Morulae_1_Cell_3",5
"OoCyte_2","OoCyte_3",59
"OoCyte_2","Zygote_1",58
"OoCyte_2","Zygote_2",54
"OoCyte_2","Zygote_3",55
"OoCyte_2","2_Cell_embryo_1_Cell_1",50
"OoCyte_2","2_Cell_embryo_1_Cell_2",49
"OoCyte_2","2_Cell_embryo_2_Cell_1",51
"OoCyte_2","2_Cell_embryo_2_Cell_2",49
"OoCyte_2","2_Cell_embryo_3_Cell_1",49
"OoCyte_2","2_Cell_embryo_3_Cell_2",46
"OoCyte_2","4_Cell_embryo_1_Cell_4",27
"OoCyte_2","4_Cell_embryo_2_Cell_1",28
"OoCyte_2","4_Cell_embryo_2_Cell_2",38
"OoCyte_2","4_Cell_embryo_2_Cell_4",36
"OoCyte_2","4_Cell_embryo_3_Cell_1",39
"OoCyte_2","4_Cell_embryo_3_Cell_3",38
"OoCyte_2","4_Cell_embryo_3_Cell_4",37
"OoCyte_2","8_Cell_embryo_1_Cell_2",31
"OoCyte_2","8_Cell_embryo_1_Cell_4",24
"OoCyte_2","4_Cell_embryo_3_Cell_2",37
"OoCyte_2","8_Cell_embryo_1_Cell_1",28
"OoCyte_2","4_Cell_embryo_1_Cell_1",38
"OoCyte_2","4_Cell_embryo_2_Cell_3",37
"OoCyte_2","4_Cell_embryo_1_Cell_2",32
"OoCyte_2","8_Cell_embryo_1_Cell_3",26
"OoCyte_2","8_Cell_embryo_2_Cell_2",9
"OoCyte_2","8_Cell_embryo_2_Cell_3",11
"OoCyte_2","8_Cell_embryo_3_Cell_2",11
"OoCyte_2","8_Cell_embryo_3_Cell_3",9
"OoCyte_2","8_Cell_embryo_3_Cell_4",14
"OoCyte_2","8_Cell_embryo_3_Cell_7",15
"OoCyte_2","8_Cell_embryo_3_Cell_8",9
"OoCyte_2","Morulae_2_Cell_1",9
"OoCyte_2","Late_blastoCyst_1_Cell_4",1
"OoCyte_2","Late_blastoCyst_1_Cell_8",1
"OoCyte_2","Late_blastoCyst_1_Cell_9",1
"OoCyte_2","Late_blastoCyst_1_Cell_11",2
"OoCyte_2","Late_blastoCyst_1_Cell_12",2
"OoCyte_2","Late_blastoCyst_2_Cell_1",2
"OoCyte_2","Late_blastoCyst_2_Cell_3",2
"OoCyte_2","Late_blastoCyst_2_Cell_4",3
"OoCyte_2","Late_blastoCyst_2_Cell_5",3
"OoCyte_2","Late_blastoCyst_2_Cell_6",3
"OoCyte_2","Late_blastoCyst_2_Cell_7",4
"OoCyte_2","Late_blastoCyst_2_Cell_9",5
"OoCyte_2","Late_blastoCyst_2_Cell_10",4
"OoCyte_2","Late_blastoCyst_3_Cell_1",3
"OoCyte_2","Late_blastoCyst_3_Cell_2",4
"OoCyte_2","Late_blastoCyst_3_Cell_3",5
"OoCyte_2","Late_blastoCyst_3_Cell_4",4
"OoCyte_2","Late_blastoCyst_3_Cell_7",3
"OoCyte_2","Late_blastoCyst_3_Cell_8",5
"OoCyte_2","8_Cell_embryo_2_Cell_1",2
"OoCyte_2","8_Cell_embryo_2_Cell_5",1
"OoCyte_2","8_Cell_embryo_2_Cell_6",1
"OoCyte_2","8_Cell_embryo_2_Cell_8",7
"OoCyte_2","8_Cell_embryo_3_Cell_1",11
"OoCyte_2","8_Cell_embryo_3_Cell_5",22
"OoCyte_2","8_Cell_embryo_3_Cell_6",9
"OoCyte_2","Morulae_1_Cell_2",8
"OoCyte_2","Morulae_1_Cell_4",9
"OoCyte_2","Morulae_1_Cell_5",8
"OoCyte_2","Morulae_1_Cell_6",5
"OoCyte_2","Morulae_2_Cell_3",8
"OoCyte_2","Morulae_2_Cell_4",7
"OoCyte_2","Morulae_2_Cell_6",9
"OoCyte_2","Morulae_2_Cell_7",9
"OoCyte_2","Morulae_2_Cell_8",13
"OoCyte_2","Late_blastoCyst_2_Cell_2",5
"OoCyte_2","Late_blastoCyst_1_Cell_1",1
"OoCyte_2","Late_blastoCyst_1_Cell_5",2
"OoCyte_2","Late_blastoCyst_1_Cell_6",1
"OoCyte_2","Late_blastoCyst_1_Cell_7",1
"OoCyte_2","Late_blastoCyst_2_Cell_8",5
"OoCyte_2","Late_blastoCyst_3_Cell_5",5
"OoCyte_2","Morulae_1_Cell_1",7
"OoCyte_2","Morulae_2_Cell_2",9
"OoCyte_2","Morulae_2_Cell_5",6
"OoCyte_2","4_Cell_embryo_1_Cell_3",31
"OoCyte_2","8_Cell_embryo_2_Cell_4",1
"OoCyte_2","Morulae_1_Cell_7",8
"OoCyte_2","Late_blastoCyst_3_Cell_6",4
"OoCyte_2","Morulae_1_Cell_8",3
"OoCyte_2","Morulae_1_Cell_3",5
"OoCyte_3","Zygote_1",61
"OoCyte_3","Zygote_2",56
"OoCyte_3","Zygote_3",58
"OoCyte_3","2_Cell_embryo_1_Cell_1",52
"OoCyte_3","2_Cell_embryo_1_Cell_2",51
"OoCyte_3","2_Cell_embryo_2_Cell_1",52
"OoCyte_3","2_Cell_embryo_2_Cell_2",50
"OoCyte_3","2_Cell_embryo_3_Cell_1",50
"OoCyte_3","2_Cell_embryo_3_Cell_2",47
"OoCyte_3","4_Cell_embryo_1_Cell_4",27
"OoCyte_3","4_Cell_embryo_2_Cell_1",30
"OoCyte_3","4_Cell_embryo_2_Cell_2",38
"OoCyte_3","4_Cell_embryo_2_Cell_4",36
"OoCyte_3","4_Cell_embryo_3_Cell_1",39
"OoCyte_3","4_Cell_embryo_3_Cell_3",38
"OoCyte_3","4_Cell_embryo_3_Cell_4",37
"OoCyte_3","8_Cell_embryo_1_Cell_2",31
"OoCyte_3","8_Cell_embryo_1_Cell_4",23
"OoCyte_3","4_Cell_embryo_3_Cell_2",36
"OoCyte_3","8_Cell_embryo_1_Cell_1",28
"OoCyte_3","4_Cell_embryo_1_Cell_1",38
"OoCyte_3","4_Cell_embryo_2_Cell_3",37
"OoCyte_3","4_Cell_embryo_1_Cell_2",33
"OoCyte_3","8_Cell_embryo_1_Cell_3",27
"OoCyte_3","8_Cell_embryo_2_Cell_2",9
"OoCyte_3","8_Cell_embryo_2_Cell_3",11
"OoCyte_3","8_Cell_embryo_3_Cell_2",10
"OoCyte_3","8_Cell_embryo_3_Cell_3",10
"OoCyte_3","8_Cell_embryo_3_Cell_4",13
"OoCyte_3","8_Cell_embryo_3_Cell_7",15
"OoCyte_3","8_Cell_embryo_3_Cell_8",9
"OoCyte_3","Morulae_2_Cell_1",10
"OoCyte_3","Late_blastoCyst_1_Cell_4",1
"OoCyte_3","Late_blastoCyst_1_Cell_8",1
"OoCyte_3","Late_blastoCyst_1_Cell_9",1
"OoCyte_3","Late_blastoCyst_1_Cell_11",2
"OoCyte_3","Late_blastoCyst_1_Cell_12",2
"OoCyte_3","Late_blastoCyst_2_Cell_1",2
"OoCyte_3","Late_blastoCyst_2_Cell_3",2
"OoCyte_3","Late_blastoCyst_2_Cell_4",3
"OoCyte_3","Late_blastoCyst_2_Cell_5",3
"OoCyte_3","Late_blastoCyst_2_Cell_6",3
"OoCyte_3","Late_blastoCyst_2_Cell_7",4
"OoCyte_3","Late_blastoCyst_2_Cell_9",5
"OoCyte_3","Late_blastoCyst_2_Cell_10",4
"OoCyte_3","Late_blastoCyst_3_Cell_1",3
"OoCyte_3","Late_blastoCyst_3_Cell_2",4
"OoCyte_3","Late_blastoCyst_3_Cell_3",5
"OoCyte_3","Late_blastoCyst_3_Cell_4",4
"OoCyte_3","Late_blastoCyst_3_Cell_7",3
"OoCyte_3","Late_blastoCyst_3_Cell_8",5
"OoCyte_3","8_Cell_embryo_2_Cell_1",3
"OoCyte_3","8_Cell_embryo_2_Cell_5",1
"OoCyte_3","8_Cell_embryo_2_Cell_6",1
"OoCyte_3","8_Cell_embryo_2_Cell_7",1
"OoCyte_3","8_Cell_embryo_2_Cell_8",6
"OoCyte_3","8_Cell_embryo_3_Cell_1",10
"OoCyte_3","8_Cell_embryo_3_Cell_5",21
"OoCyte_3","8_Cell_embryo_3_Cell_6",10
"OoCyte_3","Morulae_1_Cell_2",9
"OoCyte_3","Morulae_1_Cell_4",10
"OoCyte_3","Morulae_1_Cell_5",9
"OoCyte_3","Morulae_1_Cell_6",6
"OoCyte_3","Morulae_2_Cell_3",9
"OoCyte_3","Morulae_2_Cell_4",8
"OoCyte_3","Morulae_2_Cell_6",10
"OoCyte_3","Morulae_2_Cell_7",10
"OoCyte_3","Morulae_2_Cell_8",13
"OoCyte_3","Late_blastoCyst_2_Cell_2",5
"OoCyte_3","Late_blastoCyst_1_Cell_1",1
"OoCyte_3","Late_blastoCyst_1_Cell_5",2
"OoCyte_3","Late_blastoCyst_1_Cell_6",1
"OoCyte_3","Late_blastoCyst_1_Cell_7",1
"OoCyte_3","Late_blastoCyst_2_Cell_8",5
"OoCyte_3","Late_blastoCyst_3_Cell_5",5
"OoCyte_3","Morulae_1_Cell_1",8
"OoCyte_3","Morulae_2_Cell_2",10
"OoCyte_3","Morulae_2_Cell_5",7
"OoCyte_3","4_Cell_embryo_1_Cell_3",30
"OoCyte_3","8_Cell_embryo_2_Cell_4",2
"OoCyte_3","Morulae_1_Cell_7",9
"OoCyte_3","Late_blastoCyst_3_Cell_6",4
"OoCyte_3","Morulae_1_Cell_8",3
"OoCyte_3","Morulae_1_Cell_3",5
"Zygote_1","Zygote_2",57
"Zygote_1","Zygote_3",59
"Zygote_1","2_Cell_embryo_1_Cell_1",53
"Zygote_1","2_Cell_embryo_1_Cell_2",52
"Zygote_1","2_Cell_embryo_2_Cell_1",53
"Zygote_1","2_Cell_embryo_2_Cell_2",51
"Zygote_1","2_Cell_embryo_3_Cell_1",51
"Zygote_1","2_Cell_embryo_3_Cell_2",48
"Zygote_1","4_Cell_embryo_1_Cell_4",28
"Zygote_1","4_Cell_embryo_2_Cell_1",31
"Zygote_1","4_Cell_embryo_2_Cell_2",39
"Zygote_1","4_Cell_embryo_2_Cell_4",37
"Zygote_1","4_Cell_embryo_3_Cell_1",40
"Zygote_1","4_Cell_embryo_3_Cell_3",39
"Zygote_1","4_Cell_embryo_3_Cell_4",38
"Zygote_1","8_Cell_embryo_1_Cell_2",31
"Zygote_1","8_Cell_embryo_1_Cell_4",24
"Zygote_1","4_Cell_embryo_3_Cell_2",37
"Zygote_1","8_Cell_embryo_1_Cell_1",29
"Zygote_1","4_Cell_embryo_1_Cell_1",39
"Zygote_1","4_Cell_embryo_2_Cell_3",38
"Zygote_1","4_Cell_embryo_1_Cell_2",34
"Zygote_1","8_Cell_embryo_1_Cell_3",28
"Zygote_1","8_Cell_embryo_2_Cell_2",9
"Zygote_1","8_Cell_embryo_2_Cell_3",11
"Zygote_1","8_Cell_embryo_3_Cell_2",9
"Zygote_1","8_Cell_embryo_3_Cell_3",9
"Zygote_1","8_Cell_embryo_3_Cell_4",12
"Zygote_1","8_Cell_embryo_3_Cell_7",14
"Zygote_1","8_Cell_embryo_3_Cell_8",8
"Zygote_1","Morulae_2_Cell_1",9
"Zygote_1","Late_blastoCyst_1_Cell_4",1
"Zygote_1","Late_blastoCyst_1_Cell_8",1
"Zygote_1","Late_blastoCyst_1_Cell_9",1
"Zygote_1","Late_blastoCyst_1_Cell_11",2
"Zygote_1","Late_blastoCyst_1_Cell_12",2
"Zygote_1","Late_blastoCyst_2_Cell_1",2
"Zygote_1","Late_blastoCyst_2_Cell_3",2
"Zygote_1","Late_blastoCyst_2_Cell_4",3
"Zygote_1","Late_blastoCyst_2_Cell_5",3
"Zygote_1","Late_blastoCyst_2_Cell_6",3
"Zygote_1","Late_blastoCyst_2_Cell_7",4
"Zygote_1","Late_blastoCyst_2_Cell_9",5
"Zygote_1","Late_blastoCyst_2_Cell_10",4
"Zygote_1","Late_blastoCyst_3_Cell_1",3
"Zygote_1","Late_blastoCyst_3_Cell_2",4
"Zygote_1","Late_blastoCyst_3_Cell_3",5
"Zygote_1","Late_blastoCyst_3_Cell_4",4
"Zygote_1","Late_blastoCyst_3_Cell_7",3
"Zygote_1","Late_blastoCyst_3_Cell_8",5
"Zygote_1","8_Cell_embryo_2_Cell_1",3
"Zygote_1","8_Cell_embryo_2_Cell_5",1
"Zygote_1","8_Cell_embryo_2_Cell_6",1
"Zygote_1","8_Cell_embryo_2_Cell_7",1
"Zygote_1","8_Cell_embryo_2_Cell_8",5
"Zygote_1","8_Cell_embryo_3_Cell_1",9
"Zygote_1","8_Cell_embryo_3_Cell_5",20
"Zygote_1","8_Cell_embryo_3_Cell_6",9
"Zygote_1","Morulae_1_Cell_2",8
"Zygote_1","Morulae_1_Cell_4",9
"Zygote_1","Morulae_1_Cell_5",8
"Zygote_1","Morulae_1_Cell_6",5
"Zygote_1","Morulae_2_Cell_3",8
"Zygote_1","Morulae_2_Cell_4",7
"Zygote_1","Morulae_2_Cell_6",9
"Zygote_1","Morulae_2_Cell_7",9
"Zygote_1","Morulae_2_Cell_8",12
"Zygote_1","Late_blastoCyst_2_Cell_2",5
"Zygote_1","Late_blastoCyst_1_Cell_1",1
"Zygote_1","Late_blastoCyst_1_Cell_5",2
"Zygote_1","Late_blastoCyst_1_Cell_6",1
"Zygote_1","Late_blastoCyst_1_Cell_7",1
"Zygote_1","Late_blastoCyst_2_Cell_8",5
"Zygote_1","Late_blastoCyst_3_Cell_5",5
"Zygote_1","Morulae_1_Cell_1",7
"Zygote_1","Morulae_2_Cell_2",9
"Zygote_1","Morulae_2_Cell_5",7
"Zygote_1","4_Cell_embryo_1_Cell_3",31
"Zygote_1","8_Cell_embryo_2_Cell_4",2
"Zygote_1","Morulae_1_Cell_7",8
"Zygote_1","Late_blastoCyst_3_Cell_6",4
"Zygote_1","Morulae_1_Cell_8",3
"Zygote_1","Morulae_1_Cell_3",5
"Zygote_2","Zygote_3",58
"Zygote_2","2_Cell_embryo_1_Cell_1",52
"Zygote_2","2_Cell_embryo_1_Cell_2",51
"Zygote_2","2_Cell_embryo_2_Cell_1",52
"Zygote_2","2_Cell_embryo_2_Cell_2",50
"Zygote_2","2_Cell_embryo_3_Cell_1",50
"Zygote_2","2_Cell_embryo_3_Cell_2",47
"Zygote_2","4_Cell_embryo_1_Cell_4",25
"Zygote_2","4_Cell_embryo_2_Cell_1",30
"Zygote_2","4_Cell_embryo_2_Cell_2",37
"Zygote_2","4_Cell_embryo_2_Cell_4",36
"Zygote_2","4_Cell_embryo_3_Cell_1",39
"Zygote_2","4_Cell_embryo_3_Cell_3",38
"Zygote_2","4_Cell_embryo_3_Cell_4",37
"Zygote_2","8_Cell_embryo_1_Cell_2",30
"Zygote_2","8_Cell_embryo_1_Cell_4",24
"Zygote_2","4_Cell_embryo_3_Cell_2",37
"Zygote_2","8_Cell_embryo_1_Cell_1",28
"Zygote_2","4_Cell_embryo_1_Cell_1",37
"Zygote_2","4_Cell_embryo_2_Cell_3",36
"Zygote_2","4_Cell_embryo_1_Cell_2",33
"Zygote_2","8_Cell_embryo_1_Cell_3",27
"Zygote_2","8_Cell_embryo_2_Cell_2",10
"Zygote_2","8_Cell_embryo_2_Cell_3",10
"Zygote_2","8_Cell_embryo_3_Cell_2",7
"Zygote_2","8_Cell_embryo_3_Cell_3",8
"Zygote_2","8_Cell_embryo_3_Cell_4",10
"Zygote_2","8_Cell_embryo_3_Cell_7",12
"Zygote_2","8_Cell_embryo_3_Cell_8",6
"Zygote_2","Morulae_2_Cell_1",7
"Zygote_2","Late_blastoCyst_1_Cell_11",1
"Zygote_2","Late_blastoCyst_1_Cell_12",1
"Zygote_2","Late_blastoCyst_2_Cell_1",1
"Zygote_2","Late_blastoCyst_2_Cell_3",1
"Zygote_2","Late_blastoCyst_2_Cell_4",2
"Zygote_2","Late_blastoCyst_2_Cell_5",2
"Zygote_2","Late_blastoCyst_2_Cell_6",2
"Zygote_2","Late_blastoCyst_2_Cell_7",4
"Zygote_2","Late_blastoCyst_2_Cell_9",4
"Zygote_2","Late_blastoCyst_2_Cell_10",4
"Zygote_2","Late_blastoCyst_3_Cell_1",2
"Zygote_2","Late_blastoCyst_3_Cell_2",3
"Zygote_2","Late_blastoCyst_3_Cell_3",4
"Zygote_2","Late_blastoCyst_3_Cell_4",3
"Zygote_2","Late_blastoCyst_3_Cell_7",3
"Zygote_2","Late_blastoCyst_3_Cell_8",4
"Zygote_2","8_Cell_embryo_2_Cell_1",3
"Zygote_2","8_Cell_embryo_2_Cell_5",1
"Zygote_2","8_Cell_embryo_2_Cell_6",1
"Zygote_2","8_Cell_embryo_2_Cell_7",1
"Zygote_2","8_Cell_embryo_2_Cell_8",5
"Zygote_2","8_Cell_embryo_3_Cell_1",9
"Zygote_2","8_Cell_embryo_3_Cell_5",17
"Zygote_2","8_Cell_embryo_3_Cell_6",8
"Zygote_2","Morulae_1_Cell_2",6
"Zygote_2","Morulae_1_Cell_4",7
"Zygote_2","Morulae_1_Cell_5",6
"Zygote_2","Morulae_1_Cell_6",5
"Zygote_2","Morulae_2_Cell_3",7
"Zygote_2","Morulae_2_Cell_4",6
"Zygote_2","Morulae_2_Cell_6",7
"Zygote_2","Morulae_2_Cell_7",7
"Zygote_2","Morulae_2_Cell_8",9
"Zygote_2","Late_blastoCyst_2_Cell_2",3
"Zygote_2","Late_blastoCyst_1_Cell_5",1
"Zygote_2","Late_blastoCyst_2_Cell_8",4
"Zygote_2","Late_blastoCyst_3_Cell_5",4
"Zygote_2","Morulae_1_Cell_1",6
"Zygote_2","Morulae_2_Cell_2",8
"Zygote_2","Morulae_2_Cell_5",5
"Zygote_2","4_Cell_embryo_1_Cell_3",30
"Zygote_2","8_Cell_embryo_2_Cell_4",2
"Zygote_2","Morulae_1_Cell_7",7
"Zygote_2","Late_blastoCyst_3_Cell_6",3
"Zygote_2","Morulae_1_Cell_8",3
"Zygote_2","Morulae_1_Cell_3",5
"Zygote_3","2_Cell_embryo_1_Cell_1",56
"Zygote_3","2_Cell_embryo_1_Cell_2",55
"Zygote_3","2_Cell_embryo_2_Cell_1",56
"Zygote_3","2_Cell_embryo_2_Cell_2",54
"Zygote_3","2_Cell_embryo_3_Cell_1",54
"Zygote_3","2_Cell_embryo_3_Cell_2",51
"Zygote_3","4_Cell_embryo_1_Cell_4",29
"Zygote_3","4_Cell_embryo_2_Cell_1",33
"Zygote_3","4_Cell_embryo_2_Cell_2",41
"Zygote_3","4_Cell_embryo_2_Cell_4",39
"Zygote_3","4_Cell_embryo_3_Cell_1",42
"Zygote_3","4_Cell_embryo_3_Cell_3",41
"Zygote_3","4_Cell_embryo_3_Cell_4",40
"Zygote_3","8_Cell_embryo_1_Cell_2",33
"Zygote_3","8_Cell_embryo_1_Cell_4",25
"Zygote_3","4_Cell_embryo_3_Cell_2",39
"Zygote_3","8_Cell_embryo_1_Cell_1",31
"Zygote_3","4_Cell_embryo_1_Cell_1",41
"Zygote_3","4_Cell_embryo_2_Cell_3",40
"Zygote_3","4_Cell_embryo_1_Cell_2",37
"Zygote_3","8_Cell_embryo_1_Cell_3",29
"Zygote_3","8_Cell_embryo_2_Cell_2",11
"Zygote_3","8_Cell_embryo_2_Cell_3",11
"Zygote_3","8_Cell_embryo_3_Cell_2",8
"Zygote_3","8_Cell_embryo_3_Cell_3",9
"Zygote_3","8_Cell_embryo_3_Cell_4",11
"Zygote_3","8_Cell_embryo_3_Cell_7",14
"Zygote_3","8_Cell_embryo_3_Cell_8",8
"Zygote_3","Morulae_2_Cell_1",9
"Zygote_3","Late_blastoCyst_1_Cell_2",1
"Zygote_3","Late_blastoCyst_1_Cell_4",1
"Zygote_3","Late_blastoCyst_1_Cell_8",1
"Zygote_3","Late_blastoCyst_1_Cell_11",1
"Zygote_3","Late_blastoCyst_1_Cell_12",1
"Zygote_3","Late_blastoCyst_2_Cell_1",1
"Zygote_3","Late_blastoCyst_2_Cell_3",2
"Zygote_3","Late_blastoCyst_2_Cell_4",2
"Zygote_3","Late_blastoCyst_2_Cell_5",2
"Zygote_3","Late_blastoCyst_2_Cell_6",2
"Zygote_3","Late_blastoCyst_2_Cell_7",4
"Zygote_3","Late_blastoCyst_2_Cell_9",4
"Zygote_3","Late_blastoCyst_2_Cell_10",4
"Zygote_3","Late_blastoCyst_3_Cell_1",2
"Zygote_3","Late_blastoCyst_3_Cell_2",3
"Zygote_3","Late_blastoCyst_3_Cell_3",4
"Zygote_3","Late_blastoCyst_3_Cell_4",3
"Zygote_3","Late_blastoCyst_3_Cell_7",3
"Zygote_3","Late_blastoCyst_3_Cell_8",4
"Zygote_3","8_Cell_embryo_2_Cell_1",3
"Zygote_3","8_Cell_embryo_2_Cell_5",1
"Zygote_3","8_Cell_embryo_2_Cell_6",1
"Zygote_3","8_Cell_embryo_2_Cell_7",1
"Zygote_3","8_Cell_embryo_2_Cell_8",5
"Zygote_3","8_Cell_embryo_3_Cell_1",9
"Zygote_3","8_Cell_embryo_3_Cell_5",18
"Zygote_3","8_Cell_embryo_3_Cell_6",8
"Zygote_3","Morulae_1_Cell_2",7
"Zygote_3","Morulae_1_Cell_4",8
"Zygote_3","Morulae_1_Cell_5",7
"Zygote_3","Morulae_1_Cell_6",5
"Zygote_3","Morulae_2_Cell_3",7
"Zygote_3","Morulae_2_Cell_4",6
"Zygote_3","Morulae_2_Cell_6",8
"Zygote_3","Morulae_2_Cell_7",8
"Zygote_3","Morulae_2_Cell_8",10
"Zygote_3","Late_blastoCyst_2_Cell_2",4
"Zygote_3","Late_blastoCyst_1_Cell_5",1
"Zygote_3","Late_blastoCyst_2_Cell_8",4
"Zygote_3","Late_blastoCyst_3_Cell_5",4
"Zygote_3","Morulae_1_Cell_1",6
"Zygote_3","Morulae_2_Cell_2",8
"Zygote_3","Morulae_2_Cell_5",6
"Zygote_3","4_Cell_embryo_1_Cell_3",32
"Zygote_3","8_Cell_embryo_2_Cell_4",2
"Zygote_3","Morulae_1_Cell_7",7
"Zygote_3","Late_blastoCyst_3_Cell_6",3
"Zygote_3","Morulae_1_Cell_8",3
"Zygote_3","Morulae_1_Cell_3",5
"2_Cell_embryo_1_Cell_1","2_Cell_embryo_1_Cell_2",58
"2_Cell_embryo_1_Cell_1","2_Cell_embryo_2_Cell_1",57
"2_Cell_embryo_1_Cell_1","2_Cell_embryo_2_Cell_2",55
"2_Cell_embryo_1_Cell_1","2_Cell_embryo_3_Cell_1",53
"2_Cell_embryo_1_Cell_1","2_Cell_embryo_3_Cell_2",50
"2_Cell_embryo_1_Cell_1","4_Cell_embryo_1_Cell_4",28
"2_Cell_embryo_1_Cell_1","4_Cell_embryo_2_Cell_1",33
"2_Cell_embryo_1_Cell_1","4_Cell_embryo_2_Cell_2",40
"2_Cell_embryo_1_Cell_1","4_Cell_embryo_2_Cell_4",41
"2_Cell_embryo_1_Cell_1","4_Cell_embryo_3_Cell_1",42
"2_Cell_embryo_1_Cell_1","4_Cell_embryo_3_Cell_3",41
"2_Cell_embryo_1_Cell_1","4_Cell_embryo_3_Cell_4",40
"2_Cell_embryo_1_Cell_1","8_Cell_embryo_1_Cell_2",32
"2_Cell_embryo_1_Cell_1","8_Cell_embryo_1_Cell_4",26
"2_Cell_embryo_1_Cell_1","4_Cell_embryo_3_Cell_2",39
"2_Cell_embryo_1_Cell_1","8_Cell_embryo_1_Cell_1",31
